,BSAN,BSAS,BSAV,CTI,ELEV,EVI,LSTD,LSTN,REF1,REF2,REF3,REF7,RELI,TMAP,TMFI,Depth,Ca,P,pH,SOC,Sand
0,-0.630434811115265,-0.699999988079071,-0.7838745713233951,-0.3641461133956911,1.16547882556915,1.06268227100372,-0.7167130112648009,-0.0900161042809486,-0.8610908985137941,-0.537105739116669,-0.72256726026535,-0.646673381328583,1.6877336502075202,0.190708130598068,0.0568427033722401,Topsoil,-0.295749244426138,-0.0413363780140544,-1.12936594836946,0.3532583773691811,1.26974781214839
1,-0.630434811115265,-0.699999988079071,-0.7838745713233951,-0.3641461133956911,1.16547882556915,1.06268227100372,-0.7167130112648009,-0.0900161042809486,-0.8610908985137941,-0.537105739116669,-0.72256726026535,-0.646673381328583,1.6877336502075202,0.190708130598068,0.0568427033722401,Subsoil,-0.387441882710317,-0.23155200505980897,-1.53153827835169,-0.264023061699564,1.69220922517683
2,-0.753623187541962,-0.8363636136054989,-0.929451286792755,-0.633972108364105,1.5440980195999099,1.1567054986953702,-1.28255152702332,-0.0883361920714378,-0.935272753238678,-0.6317254304885861,-0.8322981595993041,-0.8145161271095279,1.8066598176956201,0.190708130598068,0.0568427033722401,Topsoil,-0.24860129477212803,-0.22463507316723605,-0.259551374221853,0.0641518805901485,2.09183488614967
3,-0.753623187541962,-0.8363636136054989,-0.929451286792755,-0.633972108364105,1.5440980195999099,1.1567054986953702,-1.28255152702332,-0.0883361920714378,-0.935272753238678,-0.6317254304885861,-0.8322981595993041,-0.8145161271095279,1.8066598176956201,0.190708130598068,0.0568427033722401,Subsoil,-0.33219489875991304,-0.318013653716971,-0.577548100254312,-0.318718885414516,2.1184765968812003
4,-0.6884058117866519,-0.7636363506317142,-0.8846584558486942,-0.5835760831832889,1.27683746814728,1.19169092178345,-1.20697093009949,0.0114196939393878,-0.9061818122863771,-0.5287569761276251,-0.795031070709229,-0.7802419066429142,0.430513083934784,0.190708130598068,0.0568427033722401,Topsoil,-0.438350098287653,-0.0102101844974763,-0.69913508373731,-0.310905196312381,2.1641481009923798
5,-0.6884058117866519,-0.7636363506317142,-0.8846584558486942,-0.5835760831832889,1.27683746814728,1.19169092178345,-1.20697093009949,0.0114196939393878,-0.9061818122863771,-0.5287569761276251,-0.795031070709229,-0.7802419066429142,0.430513083934784,0.190708130598068,0.0568427033722401,Subsoil,-0.31252581546866903,0.256091693366581,-0.914250516053385,-0.68596227321491,1.94340249778833
6,-0.702898561954498,-0.7636363506317142,-0.873460233211517,-0.18583095073699998,1.19220495223999,1.12973761558533,-1.1931439638137802,0.028141301125288,-0.90254545211792,-0.586270868778229,-0.7805383205413822,-0.774697601795197,0.0397553518414497,0.190708130598068,0.0568427033722401,Topsoil,-0.254964821719295,-0.248844334791242,-0.839427756986925,0.0641518805901485,1.4410159525653201
7,-0.702898561954498,-0.7636363506317142,-0.873460233211517,-0.18583095073699998,1.19220495223999,1.12973761558533,-1.1931439638137802,0.028141301125288,-0.90254545211792,-0.586270868778229,-0.7805383205413822,-0.774697601795197,0.0397553518414497,0.190708130598068,0.0568427033722401,Subsoil,-0.334798159783754,-0.300721323985538,-1.1574244830193798,-0.21714092708674804,0.8663161924996129
8,-0.6884058117866519,-0.7636363506317142,-0.8510638475418091,-0.7588808536529541,0.97394210100174,0.8746355772018429,-0.828330039978027,-0.0193046424537897,-0.8421818017959591,-0.683673441410065,-0.6894409656524662,-0.732862889766693,0.226639479398727,0.190708130598068,0.0568427033722401,Topsoil,-0.0033162560813261898,0.16271311281684603,0.0210339722773752,0.634551185046078,0.645570589295565
9,-0.6884058117866519,-0.7636363506317142,-0.8510638475418091,-0.7588808536529541,0.97394210100174,0.8746355772018429,-0.828330039978027,-0.0193046424537897,-0.8421818017959591,-0.683673441410065,-0.6894409656524662,-0.732862889766693,0.226639479398727,0.190708130598068,0.0568427033722401,Subsoil,-0.23037846760523997,-0.290345926146679,-0.14731723562216198,-0.20932723798461197,1.75310456399174
